Zone_Id,Zone
43,Central Park
48,Clinton East
68,East Chelsea
79,East Village
90,Flatiron
107,Gramercy
113,Greenwich Village North
132,JFK Airport
137,Kips Bay
138,LaGuardia Airport
141,Lenox Hill West
142,Lincoln Square East
143,Lincoln Square West
144,Little Italy/NoLiTa
151,Manhattan Valley
161,Midtown Center
162,Midtown East
163,Midtown North
164,Midtown South
170,Murray Hill
211,SoHo
224,Stuy Town/Peter Cooper Village
229,Sutton Place/Turtle Bay North
233,UN/Turtle Bay South
234,Union Sq
236,Upper East Side North
237,Upper East Side South
239,Upper West Side South
249,West Village
263,Yorkville West
